NAME                           ZONE
c3d-standard-16-lssd           us-central1-b
c3d-standard-180               us-central1-b
c3d-standard-180-lssd          us-central1-b
c3d-standard-30                us-central1-b
c3d-standard-30-lssd           us-central1-b
c3d-standard-360               us-central1-b
c3d-standard-360-lssd          us-central1-b
c3d-standard-4                 us-central1-b
c3d-standard-60                us-central1-b
c3d-standard-60-lssd           us-central1-b
c3d-standard-8                 us-central1-b
c3d-standard-8-lssd            us-central1-b
c3d-standard-90                us-central1-b
c3d-standard-90-lssd           us-central1-b
c4-highcpu-144                 us-central1-b
c4-highcpu-16                  us-central1-b
c4-highcpu-192                 us-central1-b
c4-highcpu-2                   us-central1-b
c4-highcpu-24                  us-central1-b
c4-highcpu-288                 us-central1-b
c4-highcpu-32                  us-central1-b
c4-highcpu-4                   us-central1-b
c4-highcpu-48                  us-central1-b
c4-highcpu-8                   us-central1-b
c4-highcpu-96                  us-central1-b
c4-highmem-144                 us-central1-b
c4-highmem-144-lssd            us-central1-b
c4-highmem-16                  us-central1-b
c4-highmem-16-lssd             us-central1-b
c4-highmem-192                 us-central1-b
c4-highmem-192-lssd            us-central1-b
c4-highmem-2                   us-central1-b
c4-highmem-24                  us-central1-b
c4-highmem-24-lssd             us-central1-b
c4-highmem-288                 us-central1-b
c4-highmem-288-lssd            us-central1-b
c4-highmem-288-metal           us-central1-b
c4-highmem-32                  us-central1-b
c4-highmem-32-lssd             us-central1-b
c4-highmem-4                   us-central1-b
c4-highmem-4-lssd              us-central1-b
c4-highmem-48                  us-central1-b
c4-highmem-48-lssd             us-central1-b
c4-highmem-8                   us-central1-b
c4-highmem-8-lssd              us-central1-b
c4-highmem-96                  us-central1-b
c4-highmem-96-lssd             us-central1-b
c4-standard-144                us-central1-b
c4-standard-144-lssd           us-central1-b
c4-standard-16                 us-central1-b
c4-standard-16-lssd            us-central1-b
c4-standard-192                us-central1-b
c4-standard-192-lssd           us-central1-b
c4-standard-2                  us-central1-b
c4-standard-24                 us-central1-b
c4-standard-24-lssd            us-central1-b
c4-standard-288                us-central1-b
c4-standard-288-lssd           us-central1-b
c4-standard-288-metal          us-central1-b
c4-standard-32                 us-central1-b
c4-standard-32-lssd            us-central1-b
c4-standard-4                  us-central1-b
c4-standard-4-lssd             us-central1-b
c4-standard-48                 us-central1-b
c4-standard-48-lssd            us-central1-b
c4-standard-8                  us-central1-b
c4-standard-8-lssd             us-central1-b
c4-standard-96                 us-central1-b
c4-standard-96-lssd            us-central1-b
c4a-highcpu-1                  us-central1-b
c4a-highcpu-16                 us-central1-b
c4a-highcpu-2                  us-central1-b
c4a-highcpu-32                 us-central1-b
c4a-highcpu-4                  us-central1-b
c4a-highcpu-48                 us-central1-b
c4a-highcpu-64                 us-central1-b
c4a-highcpu-72                 us-central1-b
c4a-highcpu-8                  us-central1-b
c4a-highmem-1                  us-central1-b
c4a-highmem-16                 us-central1-b
c4a-highmem-16-lssd            us-central1-b
c4a-highmem-2                  us-central1-b
c4a-highmem-32                 us-central1-b
c4a-highmem-32-lssd            us-central1-b
c4a-highmem-4                  us-central1-b
c4a-highmem-4-lssd             us-central1-b
c4a-highmem-48                 us-central1-b
c4a-highmem-48-lssd            us-central1-b
c4a-highmem-64                 us-central1-b
c4a-highmem-64-lssd            us-central1-b
c4a-highmem-72                 us-central1-b
c4a-highmem-72-lssd            us-central1-b
c4a-highmem-8                  us-central1-b
c4a-highmem-8-lssd             us-central1-b
c4a-standard-1                 us-central1-b
c4a-standard-16                us-central1-b
c4a-standard-16-lssd           us-central1-b
c4a-standard-2                 us-central1-b
c4a-standard-32                us-central1-b
c4a-standard-32-lssd           us-central1-b
c4a-standard-4                 us-central1-b
c4a-standard-4-lssd            us-central1-b
c4a-standard-48                us-central1-b
c4a-standard-48-lssd           us-central1-b
c4a-standard-64                us-central1-b
c4a-standard-64-lssd           us-central1-b
c4a-standard-72                us-central1-b
c4a-standard-72-lssd           us-central1-b
c4a-standard-8                 us-central1-b
c4a-standard-8-lssd            us-central1-b
c4d-highcpu-16                 us-central1-b
c4d-highcpu-192                us-central1-b
c4d-highcpu-2                  us-central1-b
c4d-highcpu-32                 us-central1-b
